Fichier,Dans la référence,Dans la version générée,Identiques,FPS identique,Durée identique,Similarité,Remarque
01-0006-L-G_HRHCCp_1036_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.89  PSNR=41.8 dB
01-0014-G-S_HRHCCp_1036_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.9  PSNR=41.5 dB
01-0046-R-M_HRHCCp_1036_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.95  PSNR=41.5 dB
01-0063-S-R_LRnHCC_1110_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.84  PSNR=41.8 dB
01-0072-D-C_LRnHCC_1110_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.67  PSNR=43.3 dB
01-0083-L-X_LRnHCC_1110_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.1  PSNR=40.9 dB
01-0086-G-R_HRHCCp_1110_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.05  PSNR=41.1 dB
01-0088-O-J_HRHCCp_1110_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.78  PSNR=42.6 dB
01-0096-M-A_HRHCCp_1110_720.mp4,Oui,Non,N/A — fichier manquant,,,,Fichier absent dans un des deux dossiers
02-0004-M-Z_LRnHCC_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.09  PSNR=40.0 dB
02-0010-N-V_LRnHCC_1036_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.82  PSNR=41.9 dB
02-0016-L-M_HRHCCp_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.11  PSNR=40.1 dB
02-0019-D-D_HRHCCp_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.09  PSNR=40.1 dB
02-0022-C-D_LRnHCC_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.87  PSNR=41.2 dB
02-0023-E-A_LRnHCC_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.79  PSNR=41.4 dB
02-0025-T-S_LRnHCC_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.11  PSNR=39.8 dB
02-0033-D-S_HRHCCp_1036_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.79  PSNR=41.5 dB
02-0049-R-C_HRHCCp_1036_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.87  PSNR=41.4 dB
02-0064-C-P_HRHCCp_1036_720.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.75  PSNR=42.1 dB
03-0015-D-C_LRnHCC_700_480.mp4  ↔  03-0015-D-C_LRnHCC_698_480.mp4,Oui,Oui,Non,Oui,Oui,Bonne,MAE=1.65  PSNR=35.6 dB
03-0022-A-P_HRHCCp_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.24  PSNR=39.2 dB
03-0029-S-M_LRnHCC_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.21  PSNR=39.4 dB
03-0038-D-E_HRHCCp_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.21  PSNR=38.9 dB
03-0045-V-T_HRHCCp_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.38  PSNR=38.2 dB
04-0003-K-G_HRHCCp_708_480.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.37  PSNR=38.8 dB
04-0011-G-C_HRHCCp_708_480.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.42  PSNR=38.7 dB
04-0028-B-R_HRHCCp_698_480.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.49  PSNR=38.2 dB
04-0036-O-J_HRHCCp_708_480.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.41  PSNR=38.5 dB
04-0042-P-M_HRHCCp_708_480.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.31  PSNR=39.0 dB
04-0053-B-R_HRHCCp_708_480.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.28  PSNR=39.2 dB
04-0056-G-G_HRHCCp_708_480.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=1.26  PSNR=39.1 dB
05-0009-V-S_LRnHCC_552_360.mp4,Oui,Oui,Non,Oui,Oui,Très bonne — différence invisible à l'œil,MAE=0.71  PSNR=41.7 dB
