filename,status,REF_size_MB,REF_size_bytes,REF_duration_s,REF_fps,REF_width,REF_height,REF_codec,REF_pix_fmt,REF_bitrate_kbps,REF_nb_frames_meta,GEN_size_MB,GEN_size_bytes,GEN_duration_s,GEN_fps,GEN_width,GEN_height,GEN_codec,GEN_pix_fmt,GEN_bitrate_kbps,GEN_nb_frames_meta,REF_md5,GEN_md5,md5_identical,delta_duration_s,delta_fps,delta_width_px,delta_height_px,delta_size_bytes,dur_match,fps_match,dim_match,REF_nb_frames_actual,GEN_nb_frames_actual,delta_frames,REF_mean_B,REF_std_B,GEN_mean_B,GEN_std_B,delta_mean_B,REF_mean_G,REF_std_G,GEN_mean_G,GEN_std_G,delta_mean_G,REF_mean_R,REF_std_R,GEN_mean_R,GEN_std_R,delta_mean_R,mae_overall,psnr_dB,mae_B,mae_G,mae_R
01-0006-L-G_HRHCCp_1036_720.mp4,both,0.61,610364,8.111111,18.0,1036,720,av1,yuv420p,602.0,0,0.466,465970,8.111111,18.0,1036,720,av1,yuv420p,459.6,146,056e5892564da7293293f36dc9a13f51,c9e40b6913cad2667ff55838c9a82da0,False,0.0,0.0,0,0,-144394,True,True,True,146,146,0,16.067,30.517,16.694,31.268,0.627,14.638,27.855,14.568,27.843,-0.07,13.849,26.684,14.334,27.24,0.485,0.8894,41.76,1.0379,0.7595,0.8707
01-0014-G-S_HRHCCp_1036_720.mp4,both,0.69,690374,8.176471,17.0,1036,720,av1,yuv420p,675.5,0,0.51,509937,8.176471,17.0,1036,720,av1,yuv420p,498.9,139,d4c4314a8071e7dba86dba494b41f9f9,31870e247a52759ea8f9f69527cd6809,False,0.0,0.0,0,0,-180437,True,True,True,139,139,0,17.535,34.217,18.119,34.892,0.584,15.934,31.116,15.879,31.133,-0.055,15.088,29.789,15.543,30.296,0.455,0.8971,41.53,1.033,0.7799,0.8784
01-0046-R-M_HRHCCp_1036_720.mp4,both,0.813,813120,8.176471,17.0,1036,720,av1,yuv420p,795.6,0,0.576,576370,8.176471,17.0,1036,720,av1,yuv420p,563.9,139,041c0410de889c92e8209fe23b67e42c,d5df3fb06c30cfa8870b08fafe42f862,False,0.0,0.0,0,0,-236750,True,True,True,139,139,0,18.743,33.065,19.382,33.796,0.639,17.019,30.121,16.945,30.096,-0.074,16.127,28.806,16.656,29.387,0.529,0.9483,41.46,1.0926,0.8156,0.9367
01-0063-S-R_LRnHCC_1110_720.mp4,both,0.607,607380,5.24,25.0,1110,720,av1,yuv420p,927.3,0,0.561,561453,5.24,25.0,1110,720,av1,yuv420p,857.2,131,ae1708dcd8b8589d4211d2d83ec4cf08,1515465e45b636a9c8afa99b3bee3d2d,False,0.0,0.0,0,0,-45927,True,True,True,131,131,0,17.666,34.566,17.672,34.812,0.006,15.853,31.478,15.864,31.578,0.011,14.905,29.881,14.901,29.927,-0.004,0.8354,41.8,0.9224,0.783,0.8008
01-0072-D-C_LRnHCC_1110_720.mp4,both,0.375,374838,5.44,25.0,1110,720,av1,yuv420p,551.2,0,0.35,349740,5.44,25.0,1110,720,av1,yuv420p,514.3,136,877efa67ed2244c3eb812a22e6ffa26f,224fb6ee3161dbe9ed86200572dcea39,False,0.0,0.0,0,0,-25098,True,True,True,136,136,0,12.236,28.281,12.238,28.416,0.002,10.958,25.794,10.959,25.865,0.001,10.254,24.466,10.261,24.532,0.007,0.6686,43.27,0.7386,0.6296,0.6375
01-0083-L-X_LRnHCC_1110_720.mp4,both,0.721,720919,8.176471,17.0,1110,720,av1,yuv420p,705.4,0,0.521,521280,8.176471,17.0,1110,720,av1,yuv420p,510.0,139,0ff45a1c1ae7eac6c81ab610018753d3,d050904ddb74cb9827ca1ae419be1b48,False,0.0,0.0,0,0,-199639,True,True,True,139,139,0,21.494,34.511,22.19,35.205,0.696,19.834,31.743,19.972,31.933,0.138,18.381,29.91,18.711,30.257,0.33,1.1015,40.95,1.2612,0.9986,1.0448
01-0086-G-R_HRHCCp_1110_720.mp4,both,0.922,921554,8.176471,17.0,1110,720,av1,yuv420p,901.7,0,0.678,677750,8.176471,17.0,1110,720,av1,yuv420p,663.1,139,9ae74da6e82c8ccf51b39bebfb37a374,47c6c5076b1d109a1f0eaa759a904196,False,0.0,0.0,0,0,-243804,True,True,True,139,139,0,21.063,35.538,21.708,36.182,0.645,19.356,32.568,19.464,32.759,0.108,17.886,30.662,18.244,31.016,0.358,1.054,41.12,1.2045,0.9531,1.0046
01-0088-O-J_HRHCCp_1110_720.mp4,both,0.441,441099,5.44,25.0,1110,720,av1,yuv420p,648.7,0,0.4,400056,5.44,25.0,1110,720,av1,yuv420p,588.3,136,2a005a4ca49a3e9e8037ab9b8d340174,a53fe7ec0d0df0e0f2ed01621cc50be5,False,0.0,0.0,0,0,-41043,True,True,True,136,136,0,14.054,27.576,14.04,27.726,-0.014,12.649,25.233,12.646,25.312,-0.003,11.825,23.929,11.818,23.992,-0.007,0.7819,42.64,0.8573,0.739,0.7494
01-0096-M-A_HRHCCp_1110_720.mp4,A_only,0.314,313886,5.44,25.0,1110,720,av1,yuv420p,461.6,0,,,,,,,,,,,b0f82f614e079a313cdfb5ffdab691ed,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,
02-0004-M-Z_LRnHCC_552_360.mp4,both,0.539,538553,10.076923,26.0,552,360,av1,yuv420p,427.6,0,0.463,463158,10.076923,26.0,552,360,av1,yuv420p,367.7,262,dfb7c120fe65fc33100fa420b4487315,61a1137ead172ef438c1695423db5a3a,False,0.0,0.0,0,0,-75395,True,True,True,262,262,0,23.916,41.656,24.125,41.887,0.209,23.913,41.656,24.122,41.881,0.209,23.912,41.654,24.119,41.875,0.207,1.087,40.03,1.0885,1.0861,1.0863
