filename,status,REF_size_MB,REF_size_bytes,REF_duration_s,REF_fps,REF_width,REF_height,REF_codec,REF_pix_fmt,REF_bitrate_kbps,REF_nb_frames_meta,GEN_size_MB,GEN_size_bytes,GEN_duration_s,GEN_fps,GEN_width,GEN_height,GEN_codec,GEN_pix_fmt,GEN_bitrate_kbps,GEN_nb_frames_meta,REF_md5,GEN_md5,md5_identical,delta_duration_s,delta_fps,delta_width_px,delta_height_px,delta_size_bytes,dur_match,fps_match,dim_match,REF_mean_B,REF_std_B,GEN_mean_B,GEN_std_B,delta_mean_B,REF_mean_G,REF_std_G,GEN_mean_G,GEN_std_G,delta_mean_G,REF_mean_R,REF_std_R,GEN_mean_R,GEN_std_R,delta_mean_R,mae_overall,psnr_dB,mae_B,mae_G,mae_R
01-0006-L-G_HRHCCp_1036_720.mp4,both,0.61,610364,8.111111,18.0,1036,720,av1,yuv420p,602.0,0,0.466,465970,8.111111,18.0,1036,720,av1,yuv420p,459.6,146,056e5892564da7293293f36dc9a13f51,c9e40b6913cad2667ff55838c9a82da0,False,0.0,0.0,0,0,-144394,True,True,True,16.228,30.619,16.873,31.378,0.645,14.847,28.005,14.765,27.993,-0.082,14.006,26.783,14.507,27.354,0.501,0.9276,41.48,1.075,0.7974,0.9104
01-0014-G-S_HRHCCp_1036_720.mp4,both,0.69,690374,8.176471,17.0,1036,720,av1,yuv420p,675.5,0,0.51,509937,8.176471,17.0,1036,720,av1,yuv420p,498.9,139,d4c4314a8071e7dba86dba494b41f9f9,31870e247a52759ea8f9f69527cd6809,False,0.0,0.0,0,0,-180437,True,True,True,17.353,33.755,17.93,34.441,0.577,15.78,30.726,15.725,30.744,-0.055,14.939,29.412,15.387,29.917,0.448,0.8848,41.64,1.0195,0.7691,0.8659
01-0046-R-M_HRHCCp_1036_720.mp4,both,0.813,813120,8.176471,17.0,1036,720,av1,yuv420p,795.6,0,0.576,576370,8.176471,17.0,1036,720,av1,yuv420p,563.9,139,041c0410de889c92e8209fe23b67e42c,d5df3fb06c30cfa8870b08fafe42f862,False,0.0,0.0,0,0,-236750,True,True,True,18.693,33.128,19.319,33.843,0.626,16.976,30.174,16.895,30.144,-0.081,16.081,28.863,16.6,29.437,0.519,0.9471,41.45,1.0891,0.8181,0.934
01-0063-S-R_LRnHCC_1110_720.mp4,both,0.607,607380,5.24,25.0,1110,720,av1,yuv420p,927.3,0,0.561,561453,5.24,25.0,1110,720,av1,yuv420p,857.2,131,ae1708dcd8b8589d4211d2d83ec4cf08,1515465e45b636a9c8afa99b3bee3d2d,False,0.0,0.0,0,0,-45927,True,True,True,17.395,34.363,17.381,34.563,-0.014,15.62,31.308,15.635,31.408,0.015,14.675,29.715,14.668,29.766,-0.007,0.8346,41.8,0.9202,0.7843,0.7993
01-0072-D-C_LRnHCC_1110_720.mp4,both,0.375,374838,5.44,25.0,1110,720,av1,yuv420p,551.2,0,0.35,349740,5.44,25.0,1110,720,av1,yuv420p,514.3,136,877efa67ed2244c3eb812a22e6ffa26f,224fb6ee3161dbe9ed86200572dcea39,False,0.0,0.0,0,0,-25098,True,True,True,12.177,28.347,12.161,28.467,-0.016,10.901,25.846,10.892,25.913,-0.009,10.216,24.536,10.202,24.579,-0.014,0.6377,43.55,0.7038,0.6,0.6093
01-0083-L-X_LRnHCC_1110_720.mp4,both,0.721,720919,8.176471,17.0,1110,720,av1,yuv420p,705.4,0,0.521,521280,8.176471,17.0,1110,720,av1,yuv420p,510.0,139,0ff45a1c1ae7eac6c81ab610018753d3,d050904ddb74cb9827ca1ae419be1b48,False,0.0,0.0,0,0,-199639,True,True,True,21.46,34.396,22.171,35.101,0.711,19.82,31.656,19.969,31.856,0.149,18.364,29.835,18.704,30.19,0.34,1.0983,40.97,1.2599,0.9954,1.0396
01-0086-G-R_HRHCCp_1110_720.mp4,both,0.922,921554,8.176471,17.0,1110,720,av1,yuv420p,901.7,0,0.678,677750,8.176471,17.0,1110,720,av1,yuv420p,663.1,139,9ae74da6e82c8ccf51b39bebfb37a374,47c6c5076b1d109a1f0eaa759a904196,False,0.0,0.0,0,0,-243804,True,True,True,21.163,35.651,21.823,36.319,0.66,19.47,32.703,19.591,32.9,0.121,17.994,30.778,18.367,31.172,0.373,1.058,41.09,1.2059,0.9585,1.0096
01-0088-O-J_HRHCCp_1110_720.mp4,both,0.441,441099,5.44,25.0,1110,720,av1,yuv420p,648.7,0,0.4,400056,5.44,25.0,1110,720,av1,yuv420p,588.3,136,2a005a4ca49a3e9e8037ab9b8d340174,a53fe7ec0d0df0e0f2ed01621cc50be5,False,0.0,0.0,0,0,-41043,True,True,True,13.953,27.475,13.926,27.627,-0.027,12.567,25.16,12.557,25.238,-0.01,11.752,23.875,11.724,23.913,-0.028,0.774,42.7,0.8483,0.7314,0.7423
01-0096-M-A_HRHCCp_1110_720.mp4,A_only,0.314,313886,5.44,25.0,1110,720,av1,yuv420p,461.6,0,,,,,,,,,,,b0f82f614e079a313cdfb5ffdab691ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-0004-M-Z_LRnHCC_552_360.mp4,both,0.539,538553,10.076923,26.0,552,360,av1,yuv420p,427.6,0,0.463,463158,10.076923,26.0,552,360,av1,yuv420p,367.7,262,dfb7c120fe65fc33100fa420b4487315,61a1137ead172ef438c1695423db5a3a,False,0.0,0.0,0,0,-75395,True,True,True,20.834,39.528,21.011,39.725,0.177,20.831,39.528,21.007,39.718,0.176,20.83,39.525,21.004,39.712,0.174,1.0214,40.35,1.0229,1.0206,1.0208
