video,n_frames_total,n_frames_analyses,n_frames_avec_detection_officiel,n_frames_avec_detection_notre_projet,n_candidats_officiel,n_candidats_notre_projet,n_appaires,n_non_appaires_officiel,n_non_appaires_notre_projet,max_diff_bbox_px,max_diff_score,frames_bit_exactes,statut
01-0006-L-G.mp4,146,37,0,0,1458,1458,1458,0,0,0.0,0.0,37/37,IDENTIQUE
01-0014-G-S.mp4,139,35,0,0,987,987,987,0,0,0.0,0.0,35/35,IDENTIQUE
01-0046-R-M.mp4,139,35,15,15,354,354,354,0,0,0.0,0.0,35/35,IDENTIQUE
01-0086-G-R.mp4,125,32,0,0,1023,1023,1023,0,0,0.0,0.0,32/32,IDENTIQUE
01-0088-O-J.mp4,38,10,2,2,430,430,430,0,0,0.0,0.0,10/10,IDENTIQUE
01-0095-J-B.mp4,132,33,0,0,665,665,665,0,0,0.0,0.0,33/33,IDENTIQUE
02-0016-L-M.mp4,262,66,44,44,526,526,526,0,0,0.0,0.0,66/66,IDENTIQUE
02-0019-D-D.mp4,262,66,65,65,346,346,346,0,0,0.0,0.0,66/66,IDENTIQUE
02-0033-D-S.mp4,234,59,2,2,1220,1220,1220,0,0,0.0,0.0,59/59,IDENTIQUE
02-0049-R-C.mp4,221,56,48,48,359,359,359,0,0,0.0,0.0,56/56,IDENTIQUE
02-0064-C-P.mp4,234,59,37,37,757,757,757,0,0,0.0,0.0,59/59,IDENTIQUE
02-0069-D-P.mp4,235,59,51,51,658,658,658,0,0,0.0,0.0,59/59,IDENTIQUE
03-0022-A-P.mp4,261,66,0,0,2346,2346,2346,0,0,0.0,0.0,66/66,IDENTIQUE
03-0038-D-E.mp4,260,65,38,38,1133,1133,1133,0,0,0.0,0.0,65/65,IDENTIQUE
03-0045-V-T.mp4,228,57,0,0,1739,1739,1739,0,0,0.0,0.0,57/57,IDENTIQUE
04-0003-K-G.mp4,300,75,0,0,3388,3388,3388,0,0,0.0,0.0,75/75,IDENTIQUE
04-0011-G-C.mp4,600,150,21,21,4923,4923,4923,0,0,0.0,0.0,150/150,IDENTIQUE
04-0028-B-R.mp4,298,75,0,0,3640,3640,3640,0,0,0.0,0.0,75/75,IDENTIQUE
04-0036-O-J.mp4,300,75,7,7,1564,1564,1564,0,0,0.0,0.0,75/75,IDENTIQUE
04-0042-P-M.mp4,300,75,0,0,3255,3255,3255,0,0,0.0,0.0,75/75,IDENTIQUE
04-0053-B-R.mp4,298,75,18,18,1456,1456,1456,0,0,0.0,0.0,75/75,IDENTIQUE
04-0056-G-G.mp4,287,72,9,9,1217,1217,1217,0,0,0.0,0.0,72/72,IDENTIQUE
05-0065-B-Y.mp4,253,64,0,0,4766,4766,4766,0,0,0.0,0.0,64/64,IDENTIQUE
06-0004-T-A.mp4,260,65,0,0,3367,3367,3367,0,0,0.0,0.0,65/65,IDENTIQUE
TOTAL,5812,1461,357,357,41577,41577,41577,0,0,0.0,0.0,1461/1461,IDENTIQUE
