file,orig_success,orig_error,orig_threshold,orig_xmin,orig_ymin,orig_xmax,orig_ymax,orig_elapsed_s,ours_success,ours_error,ours_fallback,ours_threshold,ours_xmin,ours_ymin,ours_xmax,ours_ymax,ours_elapsed_s,crop_iou,xmin_delta,ymin_delta,xmax_delta,ymax_delta,threshold_delta,match_exact
01-0006-L-G_HRHCCp_1036_720.mp4,True,,0.112671,113,79,923,615,2.51,True,,,0.110616,114,79,922,615,2.93,0.9975,1,0,-1,0,-0.002055,False
01-0014-G-S_HRHCCp_1036_720.mp4,True,,0.123741,117,92,919,615,2.37,True,,,0.122662,116,92,920,615,2.66,0.9975,-1,0,1,0,-0.001079,False
01-0046-R-M_HRHCCp_1036_720.mp4,True,,0.114029,121,72,915,615,2.65,True,,,0.118345,137,74,899,615,2.83,0.9562,16,2,-16,0,0.004316,False
01-0063-S-R_LRnHCC_1110_720.mp4,True,,0.127863,130,16,980,608,2.6,True,,,0.130153,130,16,980,607,2.87,0.9983,0,0,0,-1,0.00229,False
01-0072-D-C_LRnHCC_1110_720.mp4,True,,0.124265,143,27,967,526,2.4,True,,,0.117647,149,27,961,520,2.68,0.9736,6,0,-6,-6,-0.006618,False
01-0083-L-X_LRnHCC_1110_720.mp4,True,,0.114029,181,28,929,608,2.65,True,,,0.115108,181,28,929,607,2.88,0.9983,0,0,0,-1,0.001079,False
01-0086-G-R_HRHCCp_1110_720.mp4,True,,0.116187,125,14,985,608,2.78,True,,,0.114029,125,14,985,608,3.0,1.0,0,0,0,0,-0.002158,True
01-0088-O-J_HRHCCp_1110_720.mp4,True,,0.074588,185,35,925,608,5.49,True,,,0.074588,191,35,919,608,5.89,0.9838,6,0,-6,0,0.0,False
01-0096-M-A_HRHCCp_1110_720.mp4,True,,0.098897,183,24,927,481,2.32,True,,,0.097794,186,24,924,480,2.61,0.9898,3,0,-3,-1,-0.001103,False
02-0004-M-Z_LRnHCC_552_360.mp4,True,,0.069656,93,33,459,289,2.12,True,,,0.044214,92,32,460,289,3.3,0.9907,-1,-1,1,0,-0.025442,False
02-0010-N-V_LRnHCC_1036_720.mp4,True,,0.076709,191,89,845,545,3.22,True,,,0.075427,191,89,845,545,3.78,1.0,0,0,0,0,-0.001282,True
02-0016-L-M_HRHCCp_552_360.mp4,True,,0.062786,84,32,468,289,2.06,True,,,0.061641,85,32,467,289,2.23,0.9948,1,0,-1,0,-0.001145,False
02-0019-D-D_HRHCCp_552_360.mp4,True,,0.073664,100,34,452,289,2.06,True,,,0.072519,100,33,452,289,2.26,0.9961,0,-1,0,0,-0.001145,False
02-0022-C-D_LRnHCC_552_360.mp4,True,,0.063359,100,32,452,288,1.95,True,,,0.066794,100,32,452,288,2.22,1.0,0,0,0,0,0.003435,True
02-0023-E-A_LRnHCC_552_360.mp4,True,,0.073092,100,34,452,288,2.0,True,,,0.071947,100,32,452,288,2.2,0.9922,0,-2,0,0,-0.001145,False
